run,process,local_time,total_time
0,0,7.86618,7.98719
0,1,6.3884,
0,2,4.79095,
0,3,4.68759,
0,4,4.98366,
0,5,5.77512,
0,6,4.78609,
0,7,6.15251,
0,8,5.22945,
0,9,5.68441,
0,10,5.50207,
0,11,4.93898,
1,0,7.73727,7.80085
1,1,5.98211,
1,2,4.71615,
1,3,4.70912,
1,4,5.2161,
1,5,6.03845,
1,6,5.37461,
1,7,6.27388,
1,8,4.68956,
1,9,5.35054,
1,10,5.77323,
1,11,4.63066,
2,0,7.55838,7.63594
2,1,5.06834,
2,2,5.40082,
2,3,5.13054,
2,4,7.4674,
2,5,4.70952,
2,6,4.69637,
2,7,5.19997,
2,8,5.42029,
2,9,5.84195,
2,10,5.62166,
2,11,4.67643,
