run,process,local_time,total_time
0,0,50.0267,67.2281
0,1,51.2807,
0,2,66.3886,
0,3,54.4447,
0,4,53.0344,
0,5,57.2038,
0,6,48.4507,
0,7,50.948,
0,8,50.14,
0,9,50.8776,
0,10,66.8785,
0,11,51.5553,
1,0,57.6943,65.8225
1,1,65.6634,
1,2,50.4893,
1,3,51.143,
1,4,47.2215,
1,5,52.2829,
1,6,62.0536,
1,7,56.4435,
1,8,52.8878,
1,9,59.3744,
1,10,48.7408,
1,11,60.5817,
2,0,52.4519,66.5821
2,1,53.5718,
2,2,56.3126,
2,3,59.6954,
2,4,49.9259,
2,5,56.6213,
2,6,52.1735,
2,7,49.8742,
2,8,49.5705,
2,9,55.9724,
2,10,52.1947,
2,11,66.2488,
