run,process,local_time,total_time
0,0,0.699391,0.934984
0,1,0.595028,
0,2,0.560226,
0,3,0.878332,
0,4,0.553651,
0,5,0.746116,
0,6,0.587006,
0,7,0.562549,
0,8,0.581621,
0,9,0.882757,
0,10,0.725836,
0,11,0.603993,
1,0,0.569858,0.938327
1,1,0.606182,
1,2,0.619249,
1,3,0.904519,
1,4,0.570213,
1,5,0.771198,
1,6,0.600891,
1,7,0.572385,
1,8,0.650474,
1,9,0.916895,
1,10,0.883423,
1,11,0.614791,
2,0,0.548124,0.887231
2,1,0.560241,
2,2,0.713413,
2,3,0.87635,
2,4,0.541389,
2,5,0.542383,
2,6,0.551827,
2,7,0.537116,
2,8,0.830916,
2,9,0.800356,
2,10,0.720465,
2,11,0.577765,
