run,process,local_time,total_time
0,0,14.5127,31.5322
0,1,13.6628,
0,2,20.3348,
0,3,14.0811,
0,4,13.9961,
0,5,16.7883,
0,6,13.5977,
0,7,16.7191,
0,8,13.6403,
0,9,14.4121,
0,10,29.6979,
0,11,15.5493,
0,12,9.66065,
0,13,9.65405,
0,14,9.49856,
0,15,9.56965,
1,0,12.9866,30.881
1,1,15.6657,
1,2,19.2265,
1,3,14.4425,
1,4,16.3715,
1,5,13.275,
1,6,16.4729,
1,7,14.157,
1,8,13.9577,
1,9,15.3956,
1,10,29.1755,
1,11,19.3807,
1,12,9.72546,
1,13,9.71122,
1,14,9.47784,
1,15,9.50385,
2,0,14.8347,31.0577
2,1,15.7529,
2,2,17.267,
2,3,15.0023,
2,4,13.8385,
2,5,13.3019,
2,6,18.6236,
2,7,15.2047,
2,8,13.6565,
2,9,19.6842,
2,10,29.3216,
2,11,16.0153,
2,12,9.66413,
2,13,9.63588,
2,14,9.50206,
2,15,9.52045,
