run,process,local_time,total_time
0,0,3.8354,7.16625
0,1,4.23733,
0,2,3.36845,
0,3,4.10152,
0,4,5.37396,
0,5,3.63416,
0,6,3.51041,
0,7,3.8085,
0,8,3.53402,
0,9,4.01941,
0,10,5.28719,
0,11,3.63777,
0,12,2.65986,
0,13,2.66982,
0,14,2.58491,
0,15,2.66656,
1,0,3.42954,7.06801
1,1,4.9199,
1,2,3.43742,
1,3,4.38253,
1,4,5.50926,
1,5,3.41542,
1,6,3.45796,
1,7,4.3119,
1,8,3.4427,
1,9,4.56156,
1,10,4.21284,
1,11,3.36874,
1,12,2.66869,
1,13,2.68615,
1,14,2.56878,
1,15,2.61329,
2,0,4.01752,7.01316
2,1,4.17657,
2,2,3.9026,
2,3,3.43312,
2,4,5.51129,
2,5,3.65005,
2,6,4.24894,
2,7,3.48586,
2,8,3.43431,
2,9,3.40849,
2,10,3.55996,
2,11,5.62072,
2,12,2.66756,
2,13,2.66868,
2,14,2.52581,
2,15,2.58154,
