run,process,local_time,total_time
0,0,1035.3,1071.14
0,1,1039.9,
0,2,1056.19,
0,3,1044.47,
0,4,1028.02,
0,5,1063.55,
0,6,1056.18,
0,7,1068.15,
0,8,1049.63,
0,9,1036.98,
0,10,1069.7,
0,11,1030.72,
1,0,1041.28,1076.05
1,1,1030.95,
1,2,1055.08,
1,3,1039.59,
1,4,1002.18,
1,5,1073.57,
1,6,1067.87,
1,7,1034.9,
1,8,1069.44,
1,9,1039.18,
1,10,1074.77,
1,11,1047.2,
2,0,1054.12,1070.88
2,1,1046.4,
2,2,1066.34,
2,3,1049.09,
2,4,1001.73,
2,5,1055.63,
2,6,1067.42,
2,7,1070.48,
2,8,1044.88,
2,9,1008.44,
2,10,1055.11,
2,11,1065.32,
