run,process,local_time,total_time
0,0,907.085,919.746
0,1,891.492,
0,2,897.672,
0,3,891.802,
0,4,869.417,
0,5,908.126,
0,6,896.796,
0,7,880.147,
0,8,910.418,
0,9,917.329,
0,10,901.513,
0,11,899.952,
0,12,572.863,
0,13,561.617,
1,0,905.249,921.951
1,1,887.314,
1,2,887.945,
1,3,902.019,
1,4,853.424,
1,5,920.335,
1,6,897.724,
1,7,893.809,
1,8,907.526,
1,9,902.803,
1,10,902.501,
1,11,902.196,
1,12,564.875,
1,13,577.58,
2,0,908.077,918.213
2,1,910.909,
2,2,874.748,
2,3,903.458,
2,4,874.079,
2,5,913.816,
2,6,906.726,
2,7,875.779,
2,8,909.351,
2,9,905.763,
2,10,891.477,
2,11,889.501,
2,12,564.798,
2,13,579.397,
