run,process,local_time,total_time
0,0,17.6551,28.389
0,1,17.2846,
0,2,19.5852,
0,3,28.277,
0,4,19.9669,
0,5,15.7966,
0,6,18.9879,
0,7,17.3778,
0,8,19.4612,
0,9,19.9496,
0,10,16.9363,
0,11,19.0078,
1,0,20.1318,34.7224
1,1,22.4596,
1,2,18.7408,
1,3,28.3789,
1,4,22.2465,
1,5,19.3207,
1,6,22.87,
1,7,20.2917,
1,8,21.0157,
1,9,18.659,
1,10,23.7177,
1,11,34.5314,
2,0,17.7256,42.633
2,1,21.8784,
2,2,19.5558,
2,3,20.0558,
2,4,22.6179,
2,5,19.6747,
2,6,23.0761,
2,7,19.2703,
2,8,42.4542,
2,9,19.677,
2,10,20.4222,
2,11,28.0684,
