run,process,local_time,total_time
0,0,14.8285,24.1389
0,1,21.5269,
0,2,16.1405,
0,3,17.5764,
0,4,16.7129,
0,5,16.0834,
0,6,17.8323,
0,7,22.2765,
0,8,22.848,
0,9,19.8863,
0,10,23.8089,
0,11,15.5685,
0,12,11.0641,
0,13,11.082,
1,0,26.8551,28.2554
1,1,19.7077,
1,2,18.9538,
1,3,20.0532,
1,4,18.3548,
1,5,16.0482,
1,6,16.9975,
1,7,15.4376,
1,8,16.1255,
1,9,17.789,
1,10,16.5184,
1,11,23.8035,
1,12,11.0757,
1,13,11.0658,
2,0,18.4119,22.0226
2,1,16.1015,
2,2,16.9879,
2,3,19.1839,
2,4,15.996,
2,5,19.0497,
2,6,21.8319,
2,7,21.2572,
2,8,20.9444,
2,9,15.7194,
2,10,15.6365,
2,11,20.0692,
2,12,11.0751,
2,13,11.0443,
