run,process,local_time,total_time
0,0,42.0794,61.1121
0,1,49.9717,
0,2,57.874,
0,3,51.8291,
0,4,35.1918,
0,5,40.328,
0,6,35.1828,
0,7,44.6405,
0,8,37.9985,
0,9,34.4698,
0,10,36.4026,
0,11,38.5716,
0,12,25.2483,
0,13,25.2534,
0,14,24.8672,
0,15,24.9599,
1,0,40.8433,72.0604
1,1,35.3172,
1,2,68.8435,
1,3,43.5715,
1,4,39.1511,
1,5,33.8735,
1,6,39.342,
1,7,43.894,
1,8,38.477,
1,9,35.2088,
1,10,43.6913,
1,11,38.9723,
1,12,25.2305,
1,13,25.2982,
1,14,24.7746,
1,15,24.9319,
2,0,42.562,59.3026
2,1,35.5046,
2,2,36.6591,
2,3,35.4544,
2,4,38.0733,
2,5,40.6609,
2,6,39.5897,
2,7,40.6309,
2,8,55.9525,
2,9,37.9392,
2,10,52.7886,
2,11,37.9137,
2,12,25.263,
2,13,25.2805,
2,14,24.7839,
2,15,24.9047,
