run,process,local_time,total_time
0,0,0.501266,0.827229
0,1,0.487198,
0,2,0.47876,
0,3,0.485885,
0,4,0.480796,
0,5,0.740999,
0,6,0.630421,
0,7,0.520058,
0,8,0.501586,
0,9,0.749434,
0,10,0.722637,
0,11,0.500322,
0,12,0.278645,
0,13,0.270886,
1,0,0.647346,0.754195
1,1,0.473857,
1,2,0.470001,
1,3,0.477095,
1,4,0.473332,
1,5,0.715758,
1,6,0.502323,
1,7,0.558558,
1,8,0.491953,
1,9,0.718593,
1,10,0.555137,
1,11,0.487069,
1,12,0.293368,
1,13,0.297633,
2,0,0.703793,0.846671
2,1,0.664973,
2,2,0.734782,
2,3,0.824479,
2,4,0.632743,
2,5,0.813629,
2,6,0.621313,
2,7,0.826816,
2,8,0.746412,
2,9,0.70543,
2,10,0.748759,
2,11,0.643177,
2,12,0.253542,
2,13,0.261616,
