run,process,local_time,total_time
0,0,44.7899,67.3183
0,1,43.7399,
0,2,42.19,
0,3,54.0454,
0,4,48.9272,
0,5,53.5028,
0,6,43.1087,
0,7,44.4379,
0,8,42.5133,
0,9,39.6115,
0,10,66.6532,
0,11,42.5596,
0,12,28.9017,
0,13,28.7763,
1,0,45.1814,61.8557
1,1,44.679,
1,2,61.4299,
1,3,44.5638,
1,4,45.2263,
1,5,44.5978,
1,6,40.9306,
1,7,40.6213,
1,8,51.1222,
1,9,50.4586,
1,10,45.3154,
1,11,40.7362,
1,12,28.7708,
1,13,28.7119,
2,0,45.9953,58.7998
2,1,40.0295,
2,2,58.3723,
2,3,45.0722,
2,4,51.529,
2,5,49.5418,
2,6,42.8263,
2,7,43.2298,
2,8,43.4088,
2,9,41.5127,
2,10,42.377,
2,11,49.8187,
2,12,28.6818,
2,13,28.6571,
