run,process,local_time,total_time
0,0,4.35459,6.7486
0,1,3.99009,
0,2,4.10447,
0,3,3.92513,
0,4,5.19959,
0,5,5.54784,
0,6,4.51686,
0,7,4.11415,
0,8,4.80533,
0,9,4.42826,
0,10,4.2416,
0,11,6.58526,
0,12,3.04014,
0,13,3.03692,
1,0,4.14904,6.72097
1,1,4.0242,
1,2,4.26993,
1,3,5.68227,
1,4,4.33827,
1,5,4.50291,
1,6,4.92142,
1,7,4.65636,
1,8,4.90805,
1,9,4.10195,
1,10,5.47654,
1,11,6.5952,
1,12,3.05405,
1,13,3.0343,
2,0,4.8126,6.4872
2,1,4.24982,
2,2,5.14359,
2,3,4.51337,
2,4,4.90375,
2,5,4.10885,
2,6,3.99642,
2,7,4.38291,
2,8,4.63663,
2,9,4.06937,
2,10,5.10595,
2,11,6.38707,
2,12,3.04213,
2,13,3.04674,
