run,process,local_time,total_time
0,0,0.406073,1.04999
0,1,0.632836,
0,2,0.416067,
0,3,0.394638,
0,4,0.395463,
0,5,0.395147,
0,6,0.594902,
0,7,0.403404,
0,8,0.624142,
0,9,0.517967,
0,10,0.43838,
0,11,0.398399,
0,12,0.239623,
0,13,0.234693,
0,14,0.222637,
0,15,0.23685,
1,0,0.38259,0.921525
1,1,0.584758,
1,2,0.406923,
1,3,0.390565,
1,4,0.360487,
1,5,0.373742,
1,6,0.55986,
1,7,0.38283,
1,8,0.568401,
1,9,0.514613,
1,10,0.400492,
1,11,0.376277,
1,12,0.234762,
1,13,0.237392,
1,14,0.223784,
1,15,0.223791,
2,0,0.399292,0.888823
2,1,0.568877,
2,2,0.48006,
2,3,0.383897,
2,4,0.36801,
2,5,0.379885,
2,6,0.528073,
2,7,0.4679,
2,8,0.443623,
2,9,0.507397,
2,10,0.394585,
2,11,0.393765,
2,12,0.225579,
2,13,0.238172,
2,14,0.220169,
2,15,0.223923,
